,Country,Lat,Long,Date,Confirmed,Recovered,Deaths,State
0,Afghanistan,33.0,65.0,2020-01-22 00:00:00,0,0,0,Daykundi
1,Albania,41.1533,20.1683,2020-01-22 00:00:00,0,0,0,Elbasan
2,Algeria,28.0339,1.6596,2020-01-22 00:00:00,0,0,0,Tamanghasset
3,Andorra,42.5063,1.5218,2020-01-22 00:00:00,0,0,0,Andorra la Vella
4,Angola,-11.2027,17.8739,2020-01-22 00:00:00,0,0,0,Bie
5,Antigua and Barbuda,17.0608,-61.7964,2020-01-22 00:00:00,0,0,0,Saint Peter
6,Argentina,-38.4161,-63.6167,2020-01-22 00:00:00,0,0,0,La Pampa
7,Armenia,40.0691,45.0382,2020-01-22 00:00:00,0,0,0,Geghark'unik'i Marz
8,Australia,-35.4735,149.0124,2020-01-22 00:00:00,0,0,0,Australian Capital Territory
9,Australia,-33.8688,151.2093,2020-01-22 00:00:00,0,0,0,New South Wales
10,Australia,-12.4634,130.8456,2020-01-22 00:00:00,0,0,0,Northern Territory
11,Australia,-28.0167,153.4,2020-01-22 00:00:00,0,0,0,Queensland
12,Australia,-34.9285,138.6007,2020-01-22 00:00:00,0,0,0,South Australia
13,Australia,-41.4545,145.9707,2020-01-22 00:00:00,0,0,0,Tasmania
14,Australia,-37.8136,144.9631,2020-01-22 00:00:00,0,0,0,Victoria
15,Australia,-31.9505,115.8605,2020-01-22 00:00:00,0,0,0,Western Australia
16,Austria,47.5162,14.5501,2020-01-22 00:00:00,0,0,0,Styria
17,Azerbaijan,40.1431,47.5769,2020-01-22 00:00:00,0,0,0,Aghjabadi Rayon
18,Bahamas,25.0343,-77.3963,2020-01-22 00:00:00,0,0,0,New Providence
19,Bahrain,26.0275,50.55,2020-01-22 00:00:00,0,0,0,Central Governorate
20,Bangladesh,23.685,90.3563,2020-01-22 00:00:00,0,0,0,Dhaka
21,Barbados,13.1939,-59.5432,2020-01-22 00:00:00,0,0,0,Saint Thomas
22,Belarus,53.7098,27.9534,2020-01-22 00:00:00,0,0,0,Minsk
23,Belgium,50.8333,4.0,2020-01-22 00:00:00,0,0,0,Flanders
24,Benin,9.3077,2.3158,2020-01-22 00:00:00,0,0,0,Borgou
25,Bhutan,27.5142,90.4336,2020-01-22 00:00:00,0,0,0,Tongsa
26,Bolivia,-16.2902,-63.5887,2020-01-22 00:00:00,0,0,0,Santa Cruz
27,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22 00:00:00,0,0,0,Federation of Bosnia and Herzegovina
28,Brazil,-14.235,-51.9253,2020-01-22 00:00:00,0,0,0,Goias
29,Brunei,4.5353,114.7277,2020-01-22 00:00:00,0,0,0,Tutong
30,Bulgaria,42.7339,25.4858,2020-01-22 00:00:00,0,0,0,Gabrovo
31,Burkina Faso,12.2383,-1.5616,2020-01-22 00:00:00,0,0,0,Centre
32,Cabo Verde,16.5388,-23.0418,2020-01-22 00:00:00,0,0,0,Sal
33,Cambodia,11.55,104.9167,2020-01-22 00:00:00,0,0,0,Phnom Penh
34,Cameroon,3.848,11.5021,2020-01-22 00:00:00,0,0,0,Centre
35,Canada,53.9333,-116.5765,2020-01-22 00:00:00,0,0,0,Alberta
36,Canada,49.2827,-123.1207,2020-01-22 00:00:00,0,0,0,British Columbia
37,Canada,37.6489,-122.6655,2020-01-22 00:00:00,0,0,0,California
38,Canada,53.7609,-98.8139,2020-01-22 00:00:00,0,0,0,Manitoba
39,Canada,46.5653,-66.4619,2020-01-22 00:00:00,0,0,0,New Brunswick
40,Canada,53.1355,-57.6604,2020-01-22 00:00:00,0,0,0,Quebec
41,Canada,44.682,-63.7443,2020-01-22 00:00:00,0,0,0,Nova Scotia
42,Canada,51.2538,-85.3232,2020-01-22 00:00:00,0,0,0,Ontario
43,Canada,46.5107,-63.4168,2020-01-22 00:00:00,0,0,0,Prince Edward Island
44,Canada,52.9399,-73.5491,2020-01-22 00:00:00,0,0,0,Quebec
45,Canada,52.9399,-106.4509,2020-01-22 00:00:00,0,0,0,Saskatchewan
46,Central African Republic,6.6111,20.9394,2020-01-22 00:00:00,0,0,0,Ouaka
47,Chad,15.4542,18.7322,2020-01-22 00:00:00,0,0,0,Batha
48,Chile,-35.6751,-71.543,2020-01-22 00:00:00,0,0,0,Maule
49,China,31.8257,117.2264,2020-01-22 00:00:00,1,0,0,Anhui Sheng
50,China,40.1824,116.4142,2020-01-22 00:00:00,14,0,0,Beijing
51,China,30.0572,107.874,2020-01-22 00:00:00,6,0,0,Chongqing Shi
52,China,26.0789,117.9874,2020-01-22 00:00:00,1,0,0,Fujian
53,China,37.8099,101.0583,2020-01-22 00:00:00,0,0,0,Qinghai Sheng
54,China,23.3417,113.4244,2020-01-22 00:00:00,26,0,0,Guangdong
55,China,23.8298,108.7881,2020-01-22 00:00:00,2,0,0,Guangxi Zhuangzu Zizhiqu
56,China,26.8154,106.8748,2020-01-22 00:00:00,1,0,0,Guizhou Sheng
57,China,19.1959,109.7453,2020-01-22 00:00:00,4,0,0,Hainan
